week_starting,platform,gross_fares,commission_pct,commission_amount,fixed_fees,net_payout
08/12/2025,CityHail,2513.56,18%,452.44,215.16,1845.96
08/12/2025,RideGo,6411.28,23%,1474.59,0.0,4936.69
15/12/2025,CityHail,3131.63,18%,563.69,248.71,2319.23
15/12/2025,RideGo,6518.89,23%,1499.34,0.0,5019.55
22/12/2025,CityHail,2959.91,18%,532.78,311.92,2115.21
22/12/2025,RideGo,5812.23,23%,1336.81,0.0,4475.42
29/12/2025,CityHail,3453.52,18%,621.63,387.94,2443.95
29/12/2025,RideGo,6308.9,23%,1451.05,0.0,4857.85
05/01/2026,CityHail,3397.35,18%,611.52,444.8,2341.03
05/01/2026,RideGo,6717.55,23%,1545.04,0.0,5172.51
12/01/2026,CityHail,3517.68,18%,633.18,274.5,2610.0
12/01/2026,RideGo,7729.55,23%,1777.8,0.0,5951.75
19/01/2026,CityHail,3236.77,18%,582.62,312.22,2341.93
19/01/2026,RideGo,7677.52,23%,1765.83,0.0,5911.69
26/01/2026,CityHail,3296.77,18%,593.42,579.07,2124.28
26/01/2026,RideGo,6601.31,23%,1518.3,0.0,5083.01
02/02/2026,CityHail,3625.85,18%,652.65,530.82,2442.38
02/02/2026,RideGo,7039.09,23%,1618.99,0.0,5420.1
09/02/2026,CityHail,3587.4,18%,645.73,291.58,2650.09
09/02/2026,RideGo,6574.09,23%,1512.04,0.0,5062.05
16/02/2026,CityHail,3746.81,18%,674.43,411.23,2661.15
16/02/2026,RideGo,7381.81,23%,1697.82,0.0,5683.99
23/02/2026,CityHail,3820.71,18%,687.73,567.99,2564.99
23/02/2026,RideGo,7977.81,23%,1834.9,0.0,6142.91
02/03/2026,CityHail,3278.73,18%,590.17,325.69,2362.87
02/03/2026,RideGo,7972.47,23%,1833.67,0.0,6138.8
09/03/2026,CityHail,3794.27,18%,682.97,211.9,2899.4
09/03/2026,RideGo,7405.94,23%,1703.37,0.0,5702.57
16/03/2026,CityHail,3533.19,18%,635.97,501.29,2395.93
16/03/2026,RideGo,6854.8,23%,1576.6,0.0,5278.2
23/03/2026,CityHail,3933.73,18%,708.07,363.95,2861.71
23/03/2026,RideGo,7002.65,23%,1610.61,0.0,5392.04
30/03/2026,CityHail,4121.9,18%,741.94,467.88,2912.08
30/03/2026,RideGo,6797.46,23%,1563.42,0.0,5234.04
06/04/2026,CityHail,3612.35,18%,650.22,244.29,2717.84
06/04/2026,RideGo,7605.41,23%,1749.24,0.0,5856.17
13/04/2026,CityHail,3391.75,18%,610.51,358.66,2422.58
13/04/2026,RideGo,7072.65,23%,1626.71,0.0,5445.94
20/04/2026,CityHail,3351.79,18%,603.32,374.5,2373.97
20/04/2026,RideGo,8702.77,23%,2001.64,0.0,6701.13
27/04/2026,CityHail,3626.44,18%,652.76,281.52,2692.16
27/04/2026,RideGo,7107.8,23%,1634.79,0.0,5473.01
04/05/2026,CityHail,4174.1,18%,751.34,265.94,3156.82
04/05/2026,RideGo,6864.42,23%,1578.82,0.0,5285.6
11/05/2026,CityHail,4342.29,18%,781.61,389.48,3171.2
11/05/2026,RideGo,6714.42,23%,1544.32,0.0,5170.1
18/05/2026,CityHail,3462.04,18%,623.17,270.9,2567.97
18/05/2026,RideGo,7546.41,23%,1735.67,0.0,5810.74
25/05/2026,CityHail,3213.41,18%,578.41,263.73,2371.27
25/05/2026,RideGo,8363.28,23%,1923.55,0.0,6439.73
01/06/2026,CityHail,3823.42,18%,688.22,351.95,2783.25
01/06/2026,RideGo,6651.05,23%,1529.74,0.0,5121.31
08/06/2026,CityHail,3350.53,18%,603.1,475.92,2271.51
08/06/2026,RideGo,8197.5,23%,1885.43,0.0,6312.07
15/06/2026,CityHail,4081.43,18%,734.66,238.01,3108.76
15/06/2026,RideGo,6619.21,23%,1522.42,0.0,5096.79
22/06/2026,CityHail,3737.86,18%,672.81,400.03,2665.02
22/06/2026,RideGo,7387.74,23%,1699.18,0.0,5688.56
29/06/2026,CityHail,778.91,18%,140.2,413.59,225.12
29/06/2026,RideGo,2046.12,23%,470.61,0.0,1575.51
