trip_id;trip_start_utc;driver_id;vehicle_id;pickup_zone;dropoff_zone;distance_km;duration_min;fare_amount;payment;platform;surge_multiplier
T33000084;2026-03-21T04:14:00+03:00;DR-1066;VH-042;Centre;Airport;5.19;23.1;15.84;CASH;RideGo;1.0
T33000085;2026-01-03T21:33:00+03:00;DR-1015;VH-035;Airport;Centre;6.19;24.3;25.98;card;CityHail;1.5
T33000086;2026-03-14T14:22:00+03:00;DR-1033;VH-032;Centre;Port;5.18;17.2;17.0;Card;RideGo;1.2
T33000087;2026-03-13T10:53:00+03:00;DR-1065;VH-025;Suburbs;Suburbs;3.16;14.9;11.21;wallet;RideGo;1.0
T33000088;2026-06-07T05:04:00+03:00;DR-1046;VH-003;West;West;9.25;26.7;21.51;cash;RideGo;1.0
T33000089;2026-05-27T03:54:00+03:00;DR-1013;VH-030;Suburbs;West;19.21;66.4;52.9;CASH;RideGo;1.2
T33000090;2026-01-15T10:35:00+03:00;DR-1019;VH-017;West;East;6.56;26.4;18.34;Card;RideGo;1.0
T33000091;2026-01-08T00:34:00+03:00;DR-1016;VH-012;Suburbs;Suburbs;34.9;145.6;84.3;Card;RideGo;1.0
T33000092;2026-03-28T15:23:00+03:00;DR-1065;VH-042;North;North;2.21;15.8;18.67;Card;CityHail;1.8
T33000093;2026-06-21T05:52:00+03:00;DR-1034;VH-014;Port;West;2.55;13.5;12.13;Card;CityHail;1.2
T33000094;2026-03-21T10:20:00+03:00;DR-1031;VH-019;West;Airport;2.15;12.4;14.01;card;RideGo;1.5
T33000095;2026-05-02T04:12:00+03:00;DR-1004;VH-002;Centre;East;1.55;9.0;7.7;Card;CityHail;1.0
T33000096;2026-06-03T15:33:00+03:00;DR-1044;VH-006;West;Airport;3.15;16.1;20.75;Card;RideGo;1.8
T33000097;2026-05-22T05:31:00+03:00;DR-1061;VH-015;Airport;Suburbs;3.83;20.5;24.37;card;CityHail;1.8
T33000098;2026-05-29T08:15:00+03:00;DR-1043;VH-002;North;North;1.42;8.7;7.47;Card;RideGo;1.0
T33000099;2026-01-07T20:26:00+03:00;DR-1060;VH-019;Port;Port;1.9;8.8;14.49;CASH;CityHail;1.8
T33000100;2026-01-26T07:03:00+03:00;DR-1013;VH-012;North;Airport;12.17;38.8;50.87;cash;RideGo;1.8
T33000101;2026-06-13T17:11:00+03:00;DR-1056;VH-006;Port;Centre;7.94;25.0;29.3;wallet;Direct;1.5
T33000102;2026-06-21T00:40:00+03:00;DR-1057;VH-008;Port;North;8.33;29.0;21.1;wallet;CityHail;1.0
T33000103;2026-02-24T15:27:00+03:00;DR-1055;VH-009;Airport;East;5.89;24.0;16.89;CASH;RideGo;1.0
T33000104;2026-06-24T06:44:00+03:00;DR-1021;VH-003;West;West;6.5;21.6;16.92;wallet;Direct;1.0
T33000105;2026-05-13T05:19:00+03:00;DR-1003;VH-012;West;Centre;2.75;16.2;13.32;CASH;CityHail;1.2
T33000106;2026-05-16T04:14:00+03:00;DR-1009;VH-015;Airport;Port;3.1;12.7;10.52;CASH;RideGo;1.0
T33000107;2026-02-05T00:48:00+03:00;DR-1008;VH-018;Airport;East;5.87;25.6;25.98;cash;Direct;1.5
T33000108;2026-04-28T02:01:00+03:00;DR-1020;VH-040;East;Suburbs;6.74;19.3;24.84;Card;Direct;1.5
T33000109;2026-04-23T16:30:00+03:00;DR-1002;VH-007;Suburbs;Suburbs;6.12;18.5;15.62;cash;RideGo;1.0
T33000110;2026-02-08T07:37:00+03:00;DR-1034;VH-025;Airport;Airport;3.92;18.0;15.54;wallet;CityHail;1.2
T33000111;2026-05-31T16:40:00+03:00;DR-1061;VH-006;North;Port;2.12;10.7;8.83;CASH;CityHail;1.0
T33000112;2026-06-18T19:16:00+03:00;DR-1017;VH-010;Centre;Airport;7.17;20.6;26.12;CASH;Direct;1.5
T33000113;2026-02-27T14:44:00+03:00;DR-1049;VH-024;East;Suburbs;5.78;25.4;17.16;cash;CityHail;1.0
T33000114;2026-03-23T12:37:00+03:00;DR-1065;VH-029;North;Airport;3.58;15.3;14.16;Card;RideGo;1.2
T33000115;2026-05-12T01:46:00+03:00;DR-1060;VH-031;Port;North;7.86;21.9;18.57;Card;RideGo;1.0
T33000116;2026-02-13T08:07:00+03:00;DR-1061;VH-026;Airport;West;7.44;37.9;33.86;CASH;CityHail;1.5
T33000117;2026-04-20T13:51:00+03:00;DR-1028;VH-038;Suburbs;Suburbs;4.02;16.6;12.67;card;CityHail;1.0
T33000118;2026-01-08T02:38:00+03:00;DR-1020;VH-019;West;Centre;9.8;33.6;36.12;cash;CityHail;1.5
T33000119;2026-06-15T18:16:00+03:00;DR-1002;VH-032;North;Airport;5.86;21.7;16.22;wallet;Direct;1.0
T33000120;2026-06-20T18:50:00+03:00;DR-1065;VH-005;Centre;Suburbs;4.23;17.0;23.44;card;RideGo;1.8
T33000121;2026-02-03T19:58:00+03:00;DR-1028;VH-010;North;West;4.21;15.5;22.64;wallet;RideGo;1.8
T33000122;2026-06-12T13:53:00+03:00;DR-1024;VH-009;Port;Port;2.22;7.9;8.16;CASH;CityHail;1.0
T33000123;2026-01-10T00:23:00+03:00;DR-1019;VH-037;Centre;North;4.17;19.5;13.66;cash;RideGo;1.0
T33000124;2026-05-03T15:14:00+03:00;DR-1060;VH-005;East;Suburbs;12.36;57.6;33.74;cash;Direct;1.0
T33000125;2026-05-05T10:20:00+03:00;DR-1028;VH-020;East;Port;1.28;7.0;6.83;Card;CityHail;1.0
T33000126;2026-03-19T22:21:00+03:00;DR-1039;VH-035;Airport;North;5.03;26.3;29.79;card;CityHail;1.8
T33000127;2026-03-17T06:11:00+03:00;DR-1010;VH-004;West;East;6.05;22.4;16.63;cash;RideGo;1.0
T33000128;2026-04-26T19:36:00+03:00;DR-1065;VH-019;East;North;7.29;29.5;30.06;cash;CityHail;1.5
T33000129;2026-06-19T02:43:00+03:00;DR-1052;VH-031;Airport;West;3.79;17.1;18.83;Card;CityHail;1.5
T33000130;2026-04-02T05:06:00+03:00;DR-1021;VH-041;Port;West;5.53;17.3;14.6;cash;RideGo;1.0
T33000131;2026-02-25T05:44:00+03:00;DR-1013;VH-026;East;West;4.51;19.2;16.75;wallet;RideGo;1.2
T33000132;2026-04-30T00:00:00+03:00;DR-1039;VH-010;Airport;East;2.51;11.9;9.62;Card;CityHail;1.0
T33000133;2026-02-21T16:29:00+03:00;DR-1062;VH-004;Suburbs;Centre;2.28;15.3;10.31;CASH;RideGo;1.0
T33000134;2026-02-07T03:58:00+03:00;DR-1032;VH-032;West;North;3.08;11.4;18.23;card;CityHail;1.8
T33000135;2026-06-05T15:48:00+03:00;DR-1068;VH-009;Suburbs;Port;8.35;40.8;24.43;card;Direct;1.0
T33000136;2026-05-12T17:28:00+03:00;DR-1048;VH-008;Suburbs;Suburbs;9.06;31.8;22.72;cash;RideGo;1.0
T33000137;2026-03-02T21:52:00+03:00;DR-1058;VH-002;West;Port;9.82;27.9;40.5;wallet;Direct;1.8
T33000138;2026-02-20T18:26:00+03:00;DR-1048;VH-027;West;North;2.16;10.9;10.73;cash;CityHail;1.2
T33000139;2026-04-01T06:12:00+03:00;DR-1042;VH-024;West;-;3.43;12.0;12.84;wallet;RideGo;1.2
T33000140;2026-01-25T01:02:00+03:00;DR-1034;VH-019;North;West;2.19;13.4;17.41;wallet;Direct;1.8
T33000141;2026-04-15T14:03:00+03:00;DR-1015;VH-033;West;Centre;9.2;47.3;27.22;Card;CityHail;1.0
T33000142;2026-05-23T13:35:00+03:00;DR-1041;VH-011;East;Airport;2.2;10.8;8.95;card;CityHail;1.0
T33000143;2026-01-04T11:46:00+03:00;DR-1040;VH-010;Port;Airport;3.82;15.8;12.22;Card;CityHail;1.0
T33000144;2026-03-01T21:39:00+03:00;DR-1052;VH-033;North;Centre;15.42;53.2;64.85;wallet;RideGo;1.8
T33000145;2026-06-03T09:50:00+03:00;DR-1049;VH-001;Suburbs;Suburbs;5.4;23.3;16.13;card;CityHail;1.0
T33000146;2026-06-21T16:24:00+03:00;DR-1039;VH-020;Suburbs;East;8.83;40.8;37.47;card;Direct;1.5
T33000147;2026-05-30T04:13:00+03:00;DR-1018;VH-025;Centre;Airport;5.02;16.2;13.71;cash;CityHail;1.0
T33000148;2026-06-21T17:01:00+03:00;DR-1027;VH-009;East;Centre;9.23;41.0;25.49;card;RideGo;1.0
T33000149;2026-05-10T15:32:00+03:00;DR-1061;VH-040;Airport;Suburbs;3.83;18.7;13.04;Card;RideGo;1.0
T33000150;2026-01-24T11:34:00+03:00;DR-1040;VH-034;North;Airport;5.89;20.3;15.86;cash;CityHail;1.0
T33000151;2026-05-08T19:00:00+03:00;DR-1040;VH-004;Suburbs;East;4.03;19.9;13.61;card;RideGo;1.0
T33000152;2026-03-21T04:30:00+03:00;DR-1010;VH-032;Centre;-;4.07;13.0;11.72;Card;CityHail;1.0
T33000153;2026-03-05T07:53:00+03:00;DR-1021;VH-021;Port;Suburbs;2.33;13.5;14.79;wallet;RideGo;1.5
T33000154;2026-02-13T12:22:00+03:00;DR-1038;VH-036;East;Airport;5.37;15.8;21.0;cash;RideGo;1.5
T33000155;2026-03-07T10:20:00+03:00;DR-1049;VH-036;Centre;Airport;6.87;30.7;19.9;CASH;CityHail;1.0
T33000156;2026-02-25T08:57:00+03:00;DR-9156;VH-042;Airport;North;2.24;10.4;13.34;CASH;CityHail;1.5
T33000157;2026-06-18T08:02:00+03:00;DR-1066;VH-033;East;Airport;8.84;32.2;22.58;CASH;Direct;1.0
T33000158;2026-03-08T09:19:00+03:00;DR-1036;VH-009;Airport;North;1.67;10.0;12.18;CASH;Direct;1.5
T33000159;2026-06-06T20:52:00+03:00;DR-1054;VH-031;Port;Centre;12.02;48.9;30.92;wallet;RideGo;1.0
T33000160;2026-06-26T00:49:00+03:00;DR-1016;VH-003;Airport;Airport;4.58;17.3;13.51;card;RideGo;1.0
T33000161;2026-02-28T16:02:00+03:00;DR-1033;VH-029;West;North;15.47;65.3;71.05;Card;RideGo;1.8
T33000162;2026-06-25T07:02:00+03:00;DR-1001;VH-011;Centre;West;11.96;53.0;31.99;card;RideGo;1.0
T33000163;2026-03-06T22:10:00+03:00;DR-1041;VH-024;East;East;5.4;20.4;15.32;CASH;RideGo;1.0
T33000164;2026-02-23T23:30:00+03:00;DR-1062;VH-034;North;North;9.3;40.3;25.38;wallet;RideGo;1.0
T33000165;2026-01-05T12:13:00+03:00;DR-1048;VH-025;Suburbs;Centre;3.64;14.2;20.81;card;Direct;1.8
T33000166;2026-05-13T15:41:00+03:00;DR-1037;VH-033;East;Suburbs;1.53;8.7;7.6;CASH;RideGo;1.0
T33000167;2026-04-01T16:35:00+03:00;DR-1018;VH-010;North;North;4.6;15.6;13.06;CASH;CityHail;1.0
T33000168;2026-05-11T00:07:00+03:00;DR-1068;VH-019;Airport;Airport;4.35;15.6;12.77;CASH;Direct;1.0
T33000169;2026-03-06T02:30:00+03:00;DR-1001;VH-004;West;East;8.93;31.6;40.54;CASH;CityHail;1.8
T33000170;2026-06-20T01:54:00+03:00;DR-1036;VH-008;North;Airport;3.35;18.0;12.29;cash;CityHail;1.0
T33000171;2026-02-27T08:31:00+03:00;DR-1053;VH-025;Airport;Suburbs;3.95;22.3;21.28;Card;RideGo;1.5
T33000172;2026-04-16T10:31:00+03:00;DR-1050;VH-002;North;East;2.23;11.3;16.43;Card;RideGo;1.8
T33000173;2026-04-08T08:09:00+03:00;DR-1045;VH-018;Port;North;6.32;25.3;26.62;Card;Direct;1.5
T33000174;2026-05-31T13:08:00+03:00;DR-1020;VH-005;Suburbs;East;10.88;30.8;24.54;cash;RideGo;1.0
T33000175;2026-05-31T11:12:00+03:00;DR-1040;VH-030;Centre;East;3.84;20.8;13.64;wallet;CityHail;1.0
T33000176;2026-02-21T11:07:00+03:00;DR-1050;VH-036;North;Port;3.71;17.4;15.05;wallet;CityHail;1.2
T33000177;2026-02-26T21:11:00+03:00;DR-1010;VH-009;Centre;North;13.46;46.8;31.98;CASH;RideGo;1.0
T33000178;2026-01-10T22:57:00+03:00;DR-1058;VH-020;Airport;Centre;2.85;12.4;15.23;wallet;CityHail;1.5
T33000179;2026-03-15T11:00:00+03:00;DR-1044;VH-011;Airport;East;2.49;15.0;15.69;card;RideGo;1.5
T33000180;2026-03-01T05:44:00+03:00;DR-1026;VH-015;North;East;5.25;17.9;14.45;Card;CityHail;1.0
T33000181;2026-01-25T18:10:00+03:00;DR-1041;VH-009;Suburbs;Centre;1.83;6.1;7.21;wallet;CityHail;1.0
T33000182;2026-03-15T10:09:00+03:00;DR-1012;VH-036;Suburbs;Airport;5.76;26.1;25.99;wallet;RideGo;1.5
T33000183;2026-03-11T22:37:00+03:00;DR-1006;VH-023;East;Suburbs;2.52;12.0;17.39;cash;RideGo;1.8
T33000184;2026-06-04T17:53:00+03:00;DR-1015;VH-006;Port;Port;3.51;16.6;12.08;CASH;CityHail;1.0
T33000185;2026-02-19T12:11:00+03:00;DR-1059;VH-020;West;North;3.54;15.4;17.67;card;Direct;1.5
T33000186;2026-03-02T06:48:00+03:00;DR-1026;VH-031;East;Port;2.12;12.9;9.45;card;CityHail;1.0
T33000187;2026-03-08T08:15:00+03:00;DR-1063;VH-022;Airport;Centre;6.99;31.6;24.35;card;CityHail;1.2
T33000188;2026-04-20T06:41:00+03:00;DR-1004;VH-008;Airport;North;9.23;27.8;21.8;CASH;Direct;1.0
T33000189;2026-06-18T09:05:00+03:00;DR-1039;VH-035;East;Centre;7.08;21.6;17.59;card;Direct;1.0
T33000190;2026-04-15T19:55:00+03:00;DR-1014;VH-026;North;West;4.7;16.6;13.45;wallet;RideGo;1.0
T33000191;2026-03-24T02:34:00+03:00;DR-1063;VH-039;Port;Centre;4.99;18.4;17.15;wallet;Direct;1.2
T33000192;2026-01-18T19:03:00+03:00;DR-1062;VH-027;Suburbs;West;6.38;26.5;18.16;wallet;CityHail;1.0
T33000193;2026-03-23T21:51:00+03:00;DR-1049;VH-024;West;Port;9.13;27.0;21.46;card;Direct;1.0
T33000194;2026-06-09T06:40:00+03:00;DR-1040;VH-039;Centre;North;6.11;23.5;20.41;cash;Direct;1.2
T33000195;2026-04-30T09:03:00+03:00;DR-1012;VH-011;Centre;North;7.45;24.3;22.52;wallet;RideGo;1.2
T33000196;2026-05-16T10:05:00+03:00;DR-1025;VH-019;Airport;East;6.28;31.1;23.2;card;CityHail;1.2
T33000197;2026-02-06T00:46:00+03:00;DR-1031;VH-031;West;North;7.23;25.3;18.8;Card;RideGo;1.0
T33000198;2026-02-15T19:09:00+03:00;DR-1067;VH-018;Centre;Centre;6.17;28.6;18.5;cash;RideGo;1.0
T33000199;2026-06-06T19:31:00+03:00;DR-1051;VH-014;East;Airport;3.09;13.0;10.59;card;Direct;1.0
T33000200;2026-01-15T09:25:00+03:00;DR-1018;VH-015;Centre;Airport;7.29;26.0;28.59;Card;RideGo;1.5
T33000201;2026-03-24T21:39:00+03:00;DR-1065;VH-001;East;Port;2.04;9.7;8.46;wallet;RideGo;1.0
T33000202;2026-05-13T20:57:00+03:00;DR-1062;VH-030;Port;Airport;1.72;9.1;9.52;wallet;CityHail;1.2
T33000203;2026-02-26T07:58:00+03:00;DR-1012;VH-012;Centre;East;1.99;9.8;8.43;Card;CityHail;1.0
T33000204;2026-01-20T11:32:00+03:00;DR-1030;VH-020;East;North;4.73;16.5;24.23;cash;CityHail;1.8
T33000205;2026-04-18T01:01:00+03:00;DR-1065;VH-011;West;North;6.34;29.3;18.9;cash;CityHail;1.0
T33000206;2026-05-18T05:16:00+03:00;DR-1018;VH-038;Centre;Centre;10.86;53.1;36.91;wallet;Direct;1.2
T33000207;2026-04-20T06:46:00+03:00;DR-1018;VH-024;West;Suburbs;0.97;5.3;10.8;card;RideGo;1.8
T33000208;2026-06-02T07:24:00+03:00;DR-1040;VH-001;Airport;Centre;10.0;32.4;23.97;CASH;RideGo;1.0
T33000209;2026-04-13T12:11:00+03:00;DR-1029;VH-018;Port;Airport;7.58;25.8;19.34;cash;Direct;1.0
T33000210;2026-04-19T02:52:00+03:00;DR-1030;VH-004;North;West;6.4;22.6;20.51;cash;RideGo;1.2
T33000211;2026-04-25T09:33:00+03:00;DR-1025;VH-004;East;Airport;2.74;12.7;10.11;CASH;CityHail;1.0
T33000212;2026-05-17T14:59:00+03:00;DR-1066;VH-014;Suburbs;West;5.77;19.9;15.61;cash;CityHail;1.0
T33000213;2026-01-20T05:24:00+03:00;DR-1055;VH-007;West;Port;1.4;10.3;7.89;wallet;CityHail;1.0
T33000214;2026-03-01T14:46:00+03:00;DR-1002;VH-039;Suburbs;Port;12.05;55.4;32.77;cash;RideGo;1.0
T33000215;2026-06-14T21:11:00+03:00;DR-1007;VH-039;Airport;West;7.65;26.4;35.26;CASH;RideGo;1.8
T33000216;2026-02-24T19:58:00+03:00;DR-1002;VH-033;Suburbs;West;2.84;14.2;15.96;CASH;Direct;1.5
T33000217;2026-05-24T20:03:00+03:00;DR-1034;VH-003;Suburbs;Port;7.1;26.8;19.07;CASH;RideGo;1.0
