trip_id,trip_datetime,driver_id,vehicle_id,pickup_zone,dropoff_zone,distance_km,duration_min,fare_eur,payment
T11000022,2025-06-26 21:18:00,DR-1004,VH-033,Centre,Airport,11.78,52.4,"31,62",Card
T11000023,2025-03-19 05:08:00,DR-1058,VH-004,Suburbs,Suburbs,2.6,11.7,"9,67",cash
T11000024,2025-06-05 16:04:00,DR-1032,VH-014,East,Airport,4.53,18.9,"13,90",Card
T11000025,2025-02-06 13:54:00,DR-1002,VH-028,East,North,5.59,22.0,"15,99",Card
T11000026,2025-06-30 05:36:00,DR-1027,VH-032,East,Port,5.7,18.6,"15,16",Card
T11000027,2025-01-06 04:12:00,DR-1033,VH-028,Airport,Centre,1.79,7.5,"7,56",Card
T11000028,2025-03-22 08:43:00,DR-1036,VH-007,Suburbs,West,15.68,65.5,"39,77",wallet
T11000029,2025-03-26 08:54:00,DR-1049,VH-037,West,West,2.94,15.4,"11,09",CASH
T11000030,2025-04-24 16:44:00,DR-1053,VH-024,Port,Airport,7.94,22.2,"18,75",cash
T11000031,2025-03-03 21:01:00,DR-1060,VH-007,North,Airport,11.37,33.7,"25,91",cash
T11000032,2025-02-25 03:00:00,DR-1023,VH-033,East,Centre,21.67,57.9,"44,53",card
T11000033,2025-06-30 02:27:00,DR-1006,VH-011,Airport,Port,11.65,51.7,"31,27",Card
T11000034,2025-05-29 16:51:00,DR-1026,VH-033,East,North,5.32,27.5,"17,22",wallet
T11000035,2025-01-10 11:02:00,DR-1016,VH-027,North,Airport,2.49,13.3,"9,99",CASH
T11000036,2025-02-04 20:04:00,DR-1012,VH-036,West,,7.32,21.9,"17,95",card
T11000037,2025-04-17 00:18:00,DR-1066,VH-040,Airport,North,6.26,24.4,"17,43",cash
T11000038,2025-06-18 07:18:00,DR-1059,VH-013,Suburbs,Centre,3.74,16.9,"12,43",CASH
T11000039,2025-01-17 18:10:00,DR-1038,VH-006,Centre,North,5.42,23.0,"16,07",Card
T11000040,2025-04-01 00:01:00,DR-1046,VH-011,Suburbs,Airport,3.34,15.0,"11,44",CASH
T11000041,2025-06-01 00:27:00,DR-1021,VH-032,Suburbs,Centre,10.09,48.7,"28,64",card
T11000042,2025-03-19 03:38:00,DR-1033,VH-019,Port,North,17.32,78.3,"45,24",card
T11000043,2025-05-14 23:11:00,DR-1044,VH-011,Suburbs,Centre,9.0,44.9,"26,32",card
T11000044,2025-06-17 01:08:00,DR-1060,VH-003,Airport,,2.13,13.7,"9,69",card
T11000045,2025-04-19 20:53:00,DR-1053,VH-004,West,East,5.68,26.7,"17,41",CASH
T11000046,2025-05-14 00:25:00,DR-1064,VH-015,Port,Suburbs,4.55,16.5,"13,25",CASH
T11000047,2025-05-26 12:11:00,DR-1002,VH-007,Suburbs,Suburbs,3.82,19.1,"13,14",card
T11000048,2025-05-04 02:41:00,DR-1024,VH-017,East,Suburbs,6.7,33.0,"20,34",Card
T11000049,2025-01-04 08:17:00,DR-1058,VH-017,North,East,4.12,15.7,"12,53",Card
T11000050,2025-06-20 17:39:00,DR-1012,VH-027,Suburbs,Airport,11.1,45.4,"28,88",cash
T11000051,2025-03-31 06:51:00,DR-1013,VH-006,West,Port,6.92,30.9,"20,01",CASH
T11000052,2025-06-21 05:14:00,DR-1013,VH-018,Port,East,5.94,26.5,"17,65",wallet
T11000053,2025-02-27 11:15:00,DR-1022,VH-038,Suburbs,East,8.39,31.4,"21,84",Card
T11000054,2025-03-15 23:22:00,DR-1029,VH-003,Airport,North,5.68,22.2,"16,15",wallet
T11000055,2025-06-20 12:20:00,DR-1051,VH-040,Airport,East,1.07,6.0,"6,31",CASH
T11000056,2025-06-19 10:46:00,DR-1018,VH-019,Suburbs,East,1.92,10.6,"8,58",Card
T11000057,2025-02-26 23:44:00,DR-1056,VH-028,Port,North,6.61,19.3,"16,41",Card
T11000058,2025-06-08 00:06:00,DR-1022,VH-033,Suburbs,Suburbs,3.59,19.0,"12,85",Card
T11000059,2025-01-13 12:24:00,DR-1041,VH-038,Airport,Port,17.2,48.9,"36,87",Card
T11000060,2025-06-27 05:10:00,DR-1024,VH-037,Port,East,1.65,6.6,"7,15",cash
T11000061,2025-06-02 07:44:00,DR-1017,VH-032,Port,West,4.42,17.3,"13,33",card
T11000062,2025-02-22 13:04:00,DR-1032,VH-014,East,Centre,10.08,35.9,"25,04",CASH
T11000063,2025-04-30 21:41:00,DR-1004,VH-012,North,Centre,7.42,29.5,"20,19",wallet
T11000064,2025-06-09 18:34:00,DR-1060,VH-041,North,East,5.65,28.2,"17,79",Card
T11000065,2025-06-17 11:08:00,DR-1019,VH-021,North,Airport,7.87,37.6,"22,98",CASH
T11000066,2025-04-11 15:10:00,DR-1016,VH-006,Port,Suburbs,4.76,15.9,"13,33",Card
T11000067,2025-01-26 15:26:00,DR-1016,VH-015,Airport,,4.68,18.2,"13,88",wallet
T11000068,2025-03-29 18:41:00,DR-1009,VH-001,Centre,East,4.33,21.6,"14,43",card
T11000069,2025-06-11 04:45:00,DR-1055,VH-003,West,Centre,2.29,11.7,"9,31",card
T11000070,2025-04-08 00:04:00,DR-1031,VH-025,Port,,2.97,12.5,"10,32",CASH
T11000071,2025-03-07 15:09:00,DR-1042,VH-025,Centre,East,2.94,12.4,"10,25",cash
T11000072,2025-04-09 23:08:00,DR-1036,VH-028,Airport,North,6.45,29.5,"19,08",wallet
T11000073,2025-01-27 23:14:00,DR-1035,VH-001,Airport,West,2.26,11.8,"9,30",cash
T11000074,2025-06-08 08:45:00,DR-1044,VH-036,East,Airport,12.73,49.5,"31,90",CASH
T11000075,2025-01-12 15:52:00,DR-1050,VH-015,Suburbs,Port,0.0,35.2,"21,40",Card
T11000076,2025-03-03 15:12:00,DR-1045,VH-025,West,Suburbs,7.34,33.7,"21,28",CASH
T11000077,2025-01-29 00:29:00,DR-1022,VH-001,Airport,North,15.33,53.6,"36,04",Card
T11000078,2025-04-05 01:13:00,DR-1042,VH-020,Suburbs,West,9.4,36.1,"24,32",cash
T11000079,2025-04-21 08:13:00,DR-1019,VH-032,West,Port,3.77,22.4,"14,01",Card
T11000080,2025-01-02 00:38:00,DR-1004,VH-004,Centre,Airport,7.04,32.6,"20,62",cash
T11000081,2025-01-21 20:33:00,DR-1026,VH-010,North,East,2.41,11.9,"9,50",cash
T11000082,2025-02-15 15:09:00,DR-1054,VH-011,Airport,East,7.49,24.6,"18,90",card
T11000083,2025-02-28 11:38:00,DR-1034,VH-025,Suburbs,Suburbs,4.22,22.7,"14,61",CASH
T11000084,2025-01-25 08:05:00,DR-1032,VH-006,Port,Centre,11.26,37.9,"26,96",card
T11000085,2025-01-24 05:18:00,DR-1026,VH-018,North,Suburbs,7.42,33.4,"21,28",wallet
T11000086,2025-06-14 09:06:00,DR-1057,VH-001,Airport,Centre,6.2,27.3,"18,17",cash
T11000087,2025-06-15 13:06:00,DR-1001,VH-017,West,Port,1.79,9.7,"8,17",CASH
T11000088,2025-01-15 02:54:00,DR-1059,VH-038,North,Airport,3.39,10.9,"10,35",cash
T11000089,2025-04-12 16:57:00,DR-1029,VH-035,West,North,2.35,11.4,"9,29",Card
T11000090,2025-03-14 21:24:00,DR-1024,VH-015,Airport,Port,6.87,33.2,"20,60",cash
T11000091,2025-05-07 19:04:00,DR-1062,VH-002,Port,Airport,6.57,31.7,"19,83",Card
T11000092,2025-05-13 19:58:00,DR-1039,VH-015,North,North,3.12,14.5,"11,05",CASH
T11000093,2025-05-04 11:08:00,DR-1011,VH-027,Suburbs,Airport,3.75,14.1,"11,66",CASH
T11000094,2025-05-19 11:48:00,DR-1031,VH-016,Centre,Port,7.98,36.5,"22,80",Card
T11000095,2025-01-09 08:48:00,DR-1054,VH-040,Airport,East,2.8,10.9,"9,67",CASH
T11000096,2025-04-21 17:35:00,DR-1010,VH-036,West,East,5.47,21.7,"15,77",CASH
T11000097,2025-05-26 19:45:00,DR-1013,VH-014,Port,East,10.7,31.0,"24,38",card
T11000098,2025-05-01 06:04:00,DR-1036,VH-026,Port,Suburbs,6.18,31.2,"19,24",CASH
T11000099,2025-05-23 08:14:00,DR-1001,VH-012,Suburbs,Airport,7.67,30.6,"20,79",card
T11000100,2025-01-01 03:02:00,DR-1018,VH-006,North,Airport,13.39,49.8,"32,74",wallet
T11000101,2025-03-12 07:29:00,DR-1037,VH-004,Port,East,1.18,7.8,"6,94",card
T11000102,2025-04-14 06:32:00,DR-1047,VH-007,Airport,North,1.1,8.7,"7,10",CASH
T11000103,2025-04-20 16:36:00,DR-1009,VH-040,Port,Port,3.52,15.0,"11,65",card
T11000104,2025-01-07 05:47:00,DR-1002,VH-035,East,West,7.39,31.2,"20,63",cash
T11000105,2025-04-23 07:21:00,DR-1035,VH-040,East,West,2.7,12.4,"9,98",card
T11000106,2025-06-18 17:22:00,DR-1016,VH-014,Airport,East,4.44,20.8,"14,33",CASH
T11000107,2025-02-22 03:47:00,DR-1033,VH-015,Suburbs,Centre,6.08,24.7,"17,31",cash
T11000108,2025-04-24 09:41:00,DR-1036,VH-036,Port,Port,4.08,19.9,"13,66",Card
T11000109,2025-04-11 12:40:00,DR-1061,VH-030,East,Suburbs,5.73,19.2,"15,37",wallet
T11000110,2025-05-19 12:24:00,DR-1027,VH-025,Airport,West,10.93,40.8,"27,39",card
T11000111,2025-02-16 07:58:00,DR-1063,VH-031,Airport,West,8.01,26.1,"19,92",cash
T11000112,2025-02-03 02:37:00,DR-1063,VH-035,Port,West,4.7,18.5,"13,98",CASH
T11000113,2025-02-28 02:32:00,DR-1058,VH-006,Centre,Centre,7.07,25.5,"18,67",wallet
T11000114,2025-05-16 00:29:00,DR-1027,VH-038,West,North,2.76,11.0,"9,65",Card
T11000115,2025-01-29 13:47:00,DR-1033,VH-040,North,Port,10.69,44.1,"28,04",cash
T11000116,2025-05-26 18:17:00,DR-1039,VH-021,West,Airport,2.8,10.1,"9,45",cash
T11000117,2025-04-26 15:54:00,DR-1009,VH-018,East,North,9.03,32.4,"22,86",CASH
T11000118,2025-05-06 18:05:00,DR-1029,VH-008,Port,Port,5.3,18.4,"14,65",CASH
T11000119,2025-02-24 08:38:00,DR-1015,VH-015,Airport,West,6.65,30.6,"19,62",card
T11000120,2025-06-07 08:29:00,DR-1040,VH-002,West,Airport,2.95,10.0,"9,59",Card
T11000121,2025-05-16 04:23:00,DR-1008,VH-025,Port,Airport,6.61,26.9,"18,53",cash
T11000122,2025-02-05 03:41:00,DR-1013,VH-024,North,Airport,10.83,42.0,"27,61",CASH
T11000123,2025-06-08 03:41:00,DR-1056,VH-013,West,East,23.92,96.2,"57,84",CASH
T11000124,2025-05-06 17:42:00,DR-1011,VH-001,Airport,East,9.36,40.5,"25,50",CASH
T11000125,2025-04-12 02:46:00,DR-1024,VH-035,Port,Suburbs,4.74,17.6,"13,78",card
T11000126,2025-02-05 10:57:00,DR-1065,VH-007,East,East,4.13,17.7,"13,11",CASH
T11000127,2025-04-13 06:03:00,DR-1022,VH-025,Airport,Airport,1.94,8.0,"7,87",Card
T11000128,2025-02-16 13:51:00,DR-1031,VH-006,West,East,1.96,9.4,"8,29",Card
T11000129,2025-05-28 05:42:00,DR-1030,VH-001,Suburbs,North,4.65,16.7,"13,42",card
T11000130,2025-04-28 19:29:00,DR-1064,VH-004,North,Suburbs,3.85,18.4,"12,98",CASH
T11000131,2025-03-31 10:52:00,DR-1060,VH-012,North,West,8.28,40.6,"24,29",wallet
T11000132,2025-04-05 02:30:00,DR-1046,VH-004,North,Airport,5.12,25.3,"16,37",wallet
T11000133,2025-06-08 20:22:00,DR-1059,VH-021,Centre,Suburbs,2.15,7.7,"8,03",wallet
T11000134,2025-06-09 02:44:00,DR-1006,VH-032,Airport,East,2.08,9.2,"8,37",cash
T11000135,2025-04-23 00:27:00,DR-1038,VH-034,Centre,West,9.12,34.9,"23,66",cash
T11000136,2025-03-10 10:15:00,DR-1003,VH-042,Airport,Centre,2.06,12.7,"9,32",wallet
T11000137,2025-06-04 19:08:00,DR-1065,VH-035,East,Airport,14.09,68.9,"38,90",CASH
T11000138,2025-05-19 14:11:00,DR-1052,VH-031,East,West,3.81,15.0,"11,98",Card
T11000139,2025-03-16 06:31:00,DR-1041,VH-001,East,North,11.91,35.5,"27,04",CASH
T11000140,2025-01-24 11:07:00,DR-1049,VH-005,West,East,6.57,24.6,"17,84",CASH
T11000141,2025-01-25 20:30:00,DR-1033,VH-009,Port,Suburbs,6.34,24.5,"17,55",cash
T11000142,2025-02-22 20:20:00,DR-1006,VH-006,East,East,6.33,23.3,"17,20",CASH
T11000143,2025-01-31 21:00:00,DR-1026,VH-001,West,North,3.43,17.5,"12,24",cash
T11000144,2025-06-20 01:48:00,DR-1051,VH-023,North,East,12.3,48.8,"31,21",Card
T11000145,2025-03-25 03:58:00,DR-1044,VH-036,Airport,East,5.8,24.6,"16,96",Card
T11000146,2025-03-19 01:43:00,DR-1005,VH-039,East,Port,3.92,20.3,"13,59",card
T11000147,2025-06-29 03:32:00,DR-1035,VH-039,Suburbs,East,8.34,25.6,"20,16",card
T11000148,2025-06-18 02:47:00,DR-1027,VH-024,West,Port,6.96,19.7,"16,92",wallet
T11000149,2025-03-17 01:12:00,DR-1041,VH-006,West,West,4.64,20.8,"14,56",card
T11000150,2025-06-05 17:53:00,DR-1001,VH-038,Airport,Port,8.26,30.8,"21,52",cash
T11000151,2025-04-09 03:17:00,DR-1029,VH-004,East,Airport,9.85,45.0,"27,33",Card
T11000152,2025-02-24 06:04:00,DR-1017,VH-023,Centre,West,10.09,48.4,"28,56",cash
T11000153,2025-06-06 02:45:00,DR-1043,VH-020,West,Suburbs,5.37,24.9,"16,55",cash
T11000154,2025-05-10 10:37:00,DR-1059,VH-027,West,East,3.45,9.7,"10,08",cash
T11000155,2025-03-15 12:44:00,DR-1055,VH-003,Centre,Airport,3.32,16.7,"11,89",cash
T11000156,2025-03-25 23:50:00,DR-1022,VH-032,North,Airport,2.24,10.0,"8,78",cash
T11000157,2025-01-15 21:09:00,DR-1030,VH-007,North,Suburbs,22.53,83.8,"52,77",Card
T11000158,2025-02-08 08:48:00,DR-1022,VH-036,West,East,6.34,29.6,"18,98",Card
T11000159,2025-04-02 18:04:00,DR-1031,VH-020,Airport,Airport,3.91,21.5,"13,92",CASH
T11000160,2025-05-16 01:14:00,DR-1011,VH-031,Airport,East,3.77,21.3,"13,70",card
T11000161,2025-02-09 20:23:00,DR-1029,VH-021,East,Centre,5.36,22.2,"15,78",CASH
T11000162,2025-05-20 17:41:00,DR-1007,VH-022,Port,East,12.82,56.7,"34,02",CASH
T11000163,2025-04-21 20:01:00,DR-1037,VH-010,West,North,4.9,15.6,"13,40",wallet
T11000164,2025-05-01 01:37:00,DR-1007,VH-041,West,East,4.7,23.9,"15,50",CASH
T11000165,2025-03-23 23:52:00,DR-1049,VH-003,East,East,5.52,19.4,"15,18",Card
T11000166,2025-01-11 21:10:00,DR-1062,VH-025,Airport,Centre,3.11,15.0,"11,18",wallet
T11000167,2025-03-08 12:53:00,DR-1028,VH-022,North,West,10.39,35.3,"25,23",cash
T11000168,2025-03-04 22:17:00,DR-1038,VH-022,Centre,North,1.1,9.2,"7,24",Card
T11000169,2025-03-15 22:44:00,DR-1007,VH-010,Suburbs,Centre,1.54,7.7,"7,33",card
T11000170,2025-05-03 08:00:00,DR-1051,VH-019,West,West,7.91,39.2,"23,47",card
T11000171,2025-01-28 07:34:00,DR-1038,VH-033,Centre,,12.1,37.2,"27,73",cash
T11000172,2025-06-07 02:03:00,DR-1007,VH-022,Centre,East,13.36,60.2,"35,62",card
T11000173,2025-05-01 05:48:00,DR-1063,VH-038,Suburbs,Airport,5.69,28.5,"17,92",CASH
T11000174,2025-04-16 21:27:00,DR-1004,VH-007,East,Port,6.92,34.5,"21,02",CASH
T11000175,2025-03-23 18:07:00,DR-1022,VH-036,Suburbs,East,2.06,11.9,"9,10",CASH
T11000176,2025-02-08 21:08:00,DR-1062,VH-038,Port,East,3.47,15.5,"11,73",wallet
T11000177,2025-06-07 16:58:00,DR-1065,VH-025,West,East,1.13,6.9,"6,63",card
T11000178,2025-02-19 14:02:00,DR-1038,VH-002,West,Suburbs,7.48,34.4,"21,63",Card
T11000179,2025-05-02 01:22:00,DR-1018,VH-022,Suburbs,Airport,14.46,66.8,"38,73",Card
T11000180,2025-02-28 04:32:00,DR-1025,VH-023,West,East,4.59,23.8,"15,34",Card
T11000181,2025-02-22 02:43:00,DR-1067,VH-021,Airport,Airport,6.52,17.7,"15,85",wallet
T11000182,2025-02-03 07:19:00,DR-1026,VH-020,Port,Centre,6.14,17.7,"15,42",wallet
T11000183,2025-05-06 17:30:00,DR-1025,VH-039,Port,West,6.72,29.9,"19,50",Card
T11000184,2025-01-15 10:42:00,DR-1019,VH-039,Airport,West,9.65,27.7,"22,25",Card
T11000185,2025-06-25 23:09:00,DR-1028,VH-004,Port,Centre,4.11,13.4,"11,88",wallet
T11000186,2025-02-14 11:15:00,DR-1055,VH-017,Port,Port,1.72,13.2,"9,07",wallet
T11000187,2025-01-29 05:56:00,DR-1056,VH-023,East,Airport,11.39,44.4,"28,93",CASH
T11000188,2025-05-08 11:33:00,DR-1013,VH-019,Airport,Port,5.89,28.5,"18,15",CASH
T11000189,2025-03-02 13:10:00,DR-1007,VH-031,Airport,Suburbs,27.17,94.5,"61,11",cash
T11000190,2025-01-12 14:33:00,DR-1043,VH-011,North,Airport,11.97,54.8,"32,51",cash
T11000191,2025-03-14 10:07:00,DR-1046,VH-015,Port,West,3.19,12.3,"10,51",Card
T11000192,2025-06-03 00:28:00,DR-1014,VH-020,West,Airport,3.23,12.8,"10,70",Card
T11000193,2025-03-12 18:34:00,DR-1044,VH-019,Suburbs,East,10.48,37.9,"26,06",card
T11000194,2025-02-03 12:35:00,DR-1066,VH-034,East,Centre,6.27,18.9,"15,90",CASH
T11000195,2025-06-12 12:54:00,DR-1017,VH-018,Airport,East,1.22,6.4,"6,60",CASH
T11000196,2025-03-03 22:56:00,DR-1016,VH-006,Airport,West,9.49,29.1,"22,46",card
T11000197,2025-05-25 20:28:00,DR-1023,VH-015,North,North,15.82,47.6,"34,92",wallet
T11000198,2025-06-19 12:35:00,DR-1024,VH-019,North,East,6.74,24.2,"17,93",card
T11000199,2025-03-13 13:23:00,DR-1031,VH-030,Centre,West,7.02,34.2,"21,05",wallet
T11000200,2025-04-13 00:03:00,DR-1050,VH-036,East,East,5.91,19.9,"15,77",Card
T11000201,2025-05-25 20:14:00,DR-1003,VH-041,Airport,East,4.62,16.8,"13,42",cash
T11000202,2025-01-04 00:46:00,DR-1005,VH-004,Airport,Port,8.44,26.8,"20,61",card
T11000203,2025-03-26 06:43:00,DR-1064,VH-027,Airport,Airport,3.74,16.4,"12,29",card
T11000204,2025-04-05 10:05:00,DR-1027,VH-032,Airport,East,11.58,57.2,"32,73",Card
T11000205,2025-03-07 18:39:00,DR-1068,VH-034,Airport,Centre,5.23,26.6,"16,86",cash
T11000206,2025-03-27 03:38:00,DR-1049,VH-021,Suburbs,Centre,3.82,19.5,"13,25",Card
T11000207,2025-01-03 23:35:00,DR-1045,VH-030,North,Centre,7.62,27.3,"19,81",cash
T11000208,2025-05-10 12:20:00,DR-1034,VH-028,Suburbs,Airport,10.19,28.8,"23,18",CASH
T11000209,2025-06-06 00:24:00,DR-1013,VH-035,Airport,Suburbs,13.92,62.4,"36,88",Card
T11000210,2025-05-13 18:14:00,DR-1033,VH-001,Airport,,13.93,60.9,"36,47",wallet
T11000211,2025-01-04 23:01:00,DR-1031,VH-007,Port,West,5.11,22.1,"15,46",cash
T11000212,2025-05-26 14:00:00,DR-1063,VH-002,Suburbs,Port,5.42,15.6,"14,00",cash
T11000213,2025-02-10 04:04:00,DR-1021,VH-032,Port,Port,18.61,84.0,"48,32",Card
T11000214,2025-04-18 03:20:00,DR-1059,VH-031,Suburbs,West,10.59,29.8,"23,92",cash
T11000215,2025-03-09 00:20:00,DR-1067,VH-026,Port,East,2.65,13.0,"10,09",CASH
T11000216,2025-04-21 13:32:00,DR-1024,VH-031,North,Port,2.97,13.7,"10,65",card
T11000217,2025-06-10 04:21:00,DR-1036,VH-021,Suburbs,Centre,7.65,27.5,"19,90",card
T11000218,2025-05-03 04:18:00,DR-1015,VH-005,Centre,North,4.14,16.5,"12,78",Card
T11000219,2025-04-15 17:00:00,DR-1053,VH-017,Centre,East,17.09,72.5,"43,35",cash
T11000220,2025-03-12 09:19:00,DR-1010,VH-031,Suburbs,West,8.48,37.7,"23,71",card
T11000221,2025-02-27 20:23:00,DR-1047,VH-001,Centre,West,1.89,13.0,"9,21",wallet
T11000222,2025-04-19 01:45:00,DR-1033,VH-010,Port,Port,6.01,27.0,"17,87",CASH
T11000223,2025-04-11 08:37:00,DR-1047,VH-032,East,Port,7.55,24.1,"18,83",cash
T11000224,2025-05-18 17:51:00,DR-1024,VH-039,Port,Suburbs,6.47,18.4,"15,99",Card
T11000225,2025-06-23 18:21:00,DR-1056,VH-034,Suburbs,East,14.94,53.0,"35,42",card
T11000226,2025-05-18 15:19:00,DR-1059,VH-034,Centre,Airport,1.34,5.7,"6,54",card
T11000227,2025-03-22 00:12:00,DR-1068,VH-025,Centre,Airport,8.99,34.8,"23,48",cash
T11000228,2025-01-25 21:55:00,DR-1058,VH-008,Suburbs,Airport,7.92,34.7,"22,22",wallet
T11000229,2025-05-16 06:56:00,DR-1013,VH-009,Airport,Centre,8.6,34.5,"22,95",wallet
T11000230,2025-02-13 19:45:00,DR-1058,VH-005,Airport,,3.24,14.1,"11,07",wallet
T11000231,2025-06-16 17:07:00,DR-1020,VH-027,Centre,Airport,3.78,18.8,"13,01",card
T11000232,2025-01-03 00:58:00,DR-1005,VH-007,Centre,Suburbs,3.37,17.9,"12,29",wallet
T11000233,2025-02-05 20:24:00,DR-1065,VH-032,Suburbs,West,11.06,49.8,"30,06",CASH
T11000234,2025-06-05 16:03:00,DR-1013,VH-010,Airport,Airport,0.0,10.0,"9,60",cash
T11000235,2025-03-21 16:30:00,DR-1066,VH-035,Airport,North,3.37,18.8,"12,54",cash
T11000236,2025-01-27 18:41:00,DR-1002,VH-015,West,West,4.78,24.4,"15,73",CASH
T11000237,2025-01-13 04:40:00,DR-1020,VH-026,East,West,3.03,12.2,"10,30",wallet
T11000238,2025-01-23 01:22:00,DR-1051,VH-014,Airport,West,1.86,9.3,"8,14",wallet
T11000239,2025-02-15 08:43:00,DR-1047,VH-006,Centre,East,3.68,19.8,"13,18",card
T11000240,2025-02-11 16:35:00,DR-1053,VH-030,Centre,Centre,8.36,35.3,"22,90",CASH
T11000241,2025-03-15 02:17:00,DR-1004,VH-033,North,West,6.25,24.5,"17,45",cash
T11000242,2025-03-09 19:00:00,DR-1051,VH-014,North,North,6.45,28.6,"18,83",wallet
T11000243,2025-02-19 17:01:00,DR-1061,VH-034,Port,,7.82,24.0,"19,11",CASH
T11000244,2025-04-15 05:28:00,DR-1054,VH-029,West,Port,15.19,68.7,"40,10",cash
T11000245,2025-01-04 05:48:00,DR-1006,VH-019,Airport,West,7.57,34.9,"21,88",card
T11000246,2025-06-23 02:53:00,DR-1005,VH-007,Port,Suburbs,4.58,17.3,"13,51",card
T11000247,2025-06-26 15:12:00,DR-1061,VH-018,Centre,Airport,4.49,15.4,"12,88",CASH
T11000248,2025-04-29 07:20:00,DR-1048,VH-011,Suburbs,North,21.4,78.2,"49,91",wallet
T11000249,2025-04-16 03:18:00,DR-1018,VH-027,East,Suburbs,5.22,14.8,"13,55",card
T11000250,2025-06-20 09:37:00,DR-1032,VH-035,Centre,Airport,5.79,25.7,"17,25",CASH
T11000251,2025-01-19 17:23:00,DR-1019,VH-014,Port,Centre,11.05,49.0,"29,83",Card
T11000252,2025-04-19 00:11:00,DR-1022,VH-016,North,Suburbs,9.08,27.2,"21,46",CASH
T11000253,2025-02-10 03:54:00,DR-1017,VH-019,East,Airport,12.29,44.6,"30,02",Card
T11000254,2025-04-02 06:14:00,DR-1042,VH-020,East,West,16.38,54.4,"37,47",Card
T11000255,2025-02-19 05:40:00,DR-1027,VH-005,North,Port,2.16,14.6,"9,97",CASH
T11000256,2025-04-09 21:49:00,DR-1012,VH-031,Centre,West,11.48,51.6,"31,05",Card
T11000257,2025-02-23 07:22:00,DR-1017,VH-016,North,Airport,11.78,48.9,"30,64",wallet
T11000258,2025-05-31 17:26:00,DR-1031,VH-013,East,West,6.4,21.2,"16,70",CASH
T11000259,2025-05-24 14:36:00,DR-1007,VH-027,Port,Suburbs,8.14,33.0,"22,00",cash
T11000260,2025-05-13 04:39:00,DR-1036,VH-011,Centre,Airport,1.88,9.7,"8,28",wallet
T11000261,2025-02-02 02:45:00,DR-1058,VH-036,North,East,5.26,21.5,"15,47",Card
T11000262,2025-01-08 16:12:00,DR-1032,VH-041,Suburbs,Port,8.98,42.6,"25,66",card
T11000263,2025-06-12 00:46:00,DR-1021,VH-032,East,North,5.99,27.8,"18,07",cash
T11000264,2025-06-15 10:58:00,DR-1053,VH-029,East,Centre,1.53,11.3,"8,32",wallet
T11000265,2025-01-25 20:53:00,DR-1007,VH-033,Airport,North,3.69,13.4,"11,40",cash
T11000266,2025-02-11 16:44:00,DR-1003,VH-024,Port,East,3.22,14.4,"11,14",wallet
T11000267,2025-04-15 00:40:00,DR-1034,VH-041,West,Airport,1.05,8.4,"6,96",card
