txn_date,vehicle_id,litres,price_per_litre,total_cost,station,card_ref
03/01/2025,VH-001,"14,47","1,741","€ 25,20",Avin,FC473163
01/04/2025,VH-001,"12,58","1,884","€ 23,70",Shell,FC805546
07/03/2026,VH-001,"11,12","1,796","€ 19,98",BP,FC119172
11/07/2025,VH-001,"10,30","1,819","€ 18,74",eko,FC120082
03/02/2026,VH-001,"10,73","1,676","€ 17,99",Avin,FC643204
05/04/2025,VH-001,"13,40","1,588","€ 21,28",shell,FC941481
25/05/2026,VH-001,"12,18","1,895","€ 23,08",shell,FC730182
14/05/2026,VH-001,"14,82","1,907","€ 28,27",Shell,FC911311
03/11/2025,VH-001,"15,34","1,544","€ 23,69",shell,FC928917
22/02/2025,VH-001,"9,76","1,844","€ 18,01",EKO,FC127562
20/04/2026,VH-001,"12,45","1,606","€ 19,99",EKO,FC154242
04/03/2025,VH-001,"15,70","1,526","€ 23,96",Shell,FC795568
13/09/2025,VH-002,"28,35","0,444","€ 12,59",shell,FC559007
11/03/2025,VH-002,"27,99","0,436","€ 12,21",EKO,FC279295
02/06/2025,VH-002,"23,81","0,320","€ 7,62",Avin,FC529477
11/01/2026,VH-002,"27,38","0,485","€ 13,28",Shell,FC611259
25/05/2025,VH-002,"32,50","0,402","€ 13,06",EKO,FC944557
09/02/2026,VH-002,"16,37","0,462","€ 7,56",Shell,FC799561
25/11/2025,VH-002,"47,56","0,332","€ 15,79",EKO,FC185348
30/12/2025,VH-002,"33,50","0,414","€ 13,87",EKO,FC182841
17/02/2025,VH-002,"15,22","0,500","€ 7,61",shell,FC764381
31/12/2025,VH-002,"33,66","0,286","€ 9,63",eko,FC370393
12/01/2025,VH-002,"50,13","0,283","€ 14,19",Shell,FC381198
29/04/2026,VH-002,"18,99","0,311","€ 5,90",BP,FC188152
27/04/2026,VH-002,"39,23","0,393","€ 15,42",Shell,FC956523
27/10/2025,VH-002,"18,95","0,414","€ 7,84",eko,FC759078
03/03/2026,VH-002,"37,21","0,325","€ 12,09",BP,FC992917
07/03/2025,VH-002,"28,90","0,501","€ 14,48",shell,FC141224
22/04/2026,VH-002,"26,79","0,488","€ 13,07",EKO,FC912210
03/07/2025,VH-002,"26,77","0,454","€ 12,15",EKO,FC583959
03/12/2025,VH-002,"31,26","0,459","€ 14,35",shell,FC994755
19/12/2025,VH-002,"28,45","0,469","€ 13,34",eko,FC342102
30/01/2026,VH-002,"24,77","0,453","€ 11,22",Shell,FC842062
25/12/2025,VH-002,"31,29","0,517","€ 16,18",shell,FC389630
11/07/2026,VH-002,"39,45","0,355","€ 14,01",BP,FC508772
14/05/2026,VH-002,"29,86","0,473","€ 14,12",EKO,FC102255
31/01/2025,VH-002,"34,20","0,383","€ 13,10",EKO,FC892409
21/03/2026,VH-002,"39,44","0,297","€ 11,71",eko,FC688546
01/09/2025,VH-002,"41,72","0,321","€ 13,39",shell,FC125511
01/01/2026,VH-002,"42,20","0,352","€ 14,85",Shell,FC155339
21/02/2026,VH-002,"27,12","0,378","€ 10,25",Shell,FC374903
08/02/2026,VH-002,"43,09","0,401","€ 17,28",BP,FC819201
03/01/2026,VH-002,"41,09","0,427","€ 17,54",EKO,FC217977
11/03/2025,VH-002,"32,46","0,319","€ 10,36",shell,FC838185
06/09/2025,VH-002,"30,61","0,371","€ 11,36",Shell,FC843085
02/04/2025,VH-002,"26,31","0,421","€ 11,08",EKO,FC363039
23/02/2025,VH-002,"18,40","0,391","€ 7,20",Avin,FC854262
22/05/2026,VH-002,"64,78","0,309","€ 20,02",EKO,FC997051
11/09/2025,VH-002,"30,42","0,397","€ 12,08",eko,FC152085
28/09/2025,VH-002,"23,43","0,492","€ 11,53",Avin,FC518774
24/01/2026,VH-002,"19,73","0,287","€ 5,66",Shell,FC480273
06/06/2026,VH-002,"28,84","0,464","€ 13,38",Shell,FC799189
08/08/2025,VH-002,"35,52","0,349","€ 12,40",EKO,FC285788
17/12/2025,VH-002,"40,84","0,403","€ 16,46",eko,FC218176
20/01/2025,VH-002,"18,62","0,410","€ 7,64",BP,FC491958
17/08/2025,VH-002,"27,59","0,334","€ 9,22",Avin,FC910288
18/07/2025,VH-002,"51,17","0,286","€ 14,64",shell,FC474980
04/03/2025,VH-002,"22,58","0,471","€ 10,64",Avin,FC819876
26/02/2025,VH-002,"38,34","0,328","€ 12,57",Avin,FC958667
26/05/2025,VH-002,"29,31","0,418","€ 12,25",Shell,FC326550
01/07/2026,VH-002,"25,58","0,290","€ 7,42",Shell,FC397986
23/03/2026,VH-002,"38,48","0,287","€ 11,04",Avin,FC766634
05/01/2026,VH-002,"22,17","0,493","€ 10,93",EKO,FC842649
13/03/2026,VH-002,"26,74","0,448","€ 11,98",EKO,FC654819
07/09/2025,VH-002,"50,84","0,294","€ 14,95",Avin,FC759118
15/08/2025,VH-002,"38,08","0,355","€ 13,52",EKO,FC318300
01/07/2025,VH-002,"29,47","0,290","€ 8,55",BP,FC616922
23/11/2025,VH-002,"43,36","0,346","€ 15,00",Shell,FC626349
21/10/2025,VH-002,"25,95","0,319","€ 8,28",Shell,FC769642
25/08/2025,VH-002,"52,96","0,307","€ 16,26",EKO,FC833794
02/12/2025,VH-002,"33,51","0,371","€ 12,43",Shell,FC393554
25/04/2026,VH-002,"37,49","0,360","€ 13,50",Avin,FC414293
10/02/2025,VH-002,"30,46","0,444","€ 13,53",Avin,FC961842
21/09/2025,VH-002,"47,07","0,389","€ 18,31",EKO,FC769011
02/01/2025,VH-002,"33,23","0,371","€ 12,33",Shell,FC520433
04/05/2026,VH-002,"34,13","0,415","€ 14,16",eko,FC196868
09/06/2025,VH-002,"24,63","0,507","€ 12,49",BP,FC148545
12/02/2026,VH-002,"30,99","0,431","€ 13,36",Shell,FC123617
07/04/2026,VH-002,"34,38","0,316","€ 10,86",Avin,FC724830
09/03/2025,VH-002,"20,73","0,520","€ 10,78",BP,FC870238
03/07/2026,VH-002,"28,66","0,310","€ 8,89",BP,FC962524
20/02/2025,VH-002,"35,30","0,386","€ 13,63",eko,FC957269
18/09/2025,VH-002,"20,95","0,487","€ 10,20",EKO,FC238426
31/07/2025,VH-002,"35,09","0,471","€ 16,53",Avin,FC567437
21/03/2025,VH-002,"31,54","0,454","€ 14,32",Avin,FC668652
26/10/2025,VH-002,"34,47","0,291","€ 10,03",eko,FC959538
31/01/2026,VH-002,"35,96","0,392","€ 14,10",shell,FC159080
17/04/2026,VH-002,"32,20","0,441","€ 14,20",EKO,FC464459
19/10/2025,VH-002,"29,90","0,439","€ 13,13",Avin,FC612629
18/10/2025,VH-002,"12,61","0,411","€ 5,18",eko,FC708111
18/04/2025,VH-002,"33,17","0,309","€ 10,25",eko,FC476569
14/02/2026,VH-002,"21,27","0,482","€ 10,25",shell,FC752098
14/03/2026,VH-002,"31,61","0,352","€ 11,13",shell,FC195237
26/02/2026,VH-002,"36,93","0,327","€ 12,08",eko,FC128962
07/06/2025,VH-002,"42,65","0,325","€ 13,86",BP,FC467934
09/01/2025,VH-002,"38,74","0,384","€ 14,88",Avin,FC706314
26/07/2025,VH-002,"28,54","0,331","€ 9,45",shell,FC675281
24/12/2025,VH-002,"34,83","0,372","€ 12,96",eko,FC749311
06/08/2025,VH-002,"14,00","0,438","€ 6,13",BP,FC549258
20/07/2025,VH-002,"35,00","0,313","€ 10,95",Avin,FC759542
28/06/2026,VH-002,"40,93","0,289","€ 11,83",BP,FC485366
15/06/2026,VH-002,"46,55","0,281","€ 13,08",shell,FC934250
05/12/2025,VH-002,"14,18","0,495","€ 7,02",eko,FC269919
24/03/2025,VH-002,"41,22","0,313","€ 12,90",Avin,FC730290
12/03/2026,VH-002,,"0,298","€ 13,02",BP,FC313534
03/03/2025,VH-002,"13,73","0,403","€ 5,53",Shell,FC727973
26/02/2025,VH-002,"22,88","0,460","€ 10,53",eko,FC357771
24/04/2025,VH-002,,"0,415","€ 8,45",eko,FC812865
05/04/2026,VH-002,"31,85","0,315","€ 10,03",BP,FC575688
09/01/2026,VH-002,"17,00","0,424","€ 7,21",BP,FC249961
17/05/2025,VH-002,"46,91","0,294","€ 13,79",eko,FC149172
15/05/2026,VH-002,"41,45","0,305","€ 12,64",shell,FC369624
20/01/2026,VH-002,"45,85","0,352","€ 16,14",shell,FC424904
19/02/2026,VH-002,"22,12","0,464","€ 10,26",BP,FC551912
17/02/2025,VH-002,"37,43","0,350","€ 13,10",Avin,FC732789
06/03/2026,VH-002,"55,68","0,325","€ 18,10",EKO,FC206664
23/06/2026,VH-002,,"0,339","€ 9,20",eko,FC673512
29/10/2025,VH-002,"39,56","0,297","€ 11,75",eko,FC872289
12/10/2025,VH-002,"36,66","0,399","€ 14,63",EKO,FC583050
30/05/2025,VH-002,,"0,453","€ 12,65",EKO,FC752952
21/11/2025,VH-002,"17,43","0,460","€ 8,02",Avin,FC222388
14/08/2025,VH-002,"40,84","0,351","€ 14,33",Shell,FC157999
16/02/2025,VH-002,"31,79","0,343","€ 10,91",BP,FC253130
24/01/2025,VH-002,"53,88","0,294","€ 15,84",Avin,FC809984
11/02/2026,VH-002,"33,28","0,347","€ 11,55",shell,FC212883
04/03/2025,VH-002,"16,02","0,503","€ 8,06",Avin,FC705462
08/06/2025,VH-002,"21,61","0,315","€ 6,81",Shell,FC590192
23/05/2026,VH-002,"22,64","0,453","€ 10,26",shell,FC361339
24/10/2025,VH-002,"35,79","0,347","€ 12,42",shell,FC995871
24/04/2025,VH-002,"25,04","0,302","€ 7,56",eko,FC392356
28/10/2025,VH-002,"26,49","0,376","€ 9,96",eko,FC253809
02/01/2025,VH-002,"39,83","0,320","€ 12,75",eko,FC489266
05/10/2025,VH-002,"48,79","0,285","€ 13,90",EKO,FC681288
29/03/2026,VH-002,"34,35","0,314","€ 10,79",Avin,FC993459
22/05/2026,VH-002,"18,35","0,459","€ 8,42",EKO,FC877905
28/03/2026,VH-002,"63,22","0,299","€ 18,90",shell,FC693280
18/06/2025,VH-002,"26,11","0,457","€ 11,93",eko,FC725187
30/01/2026,VH-002,"38,90","0,408","€ 15,87",EKO,FC180930
26/02/2025,VH-002,"33,39","0,354","€ 11,82",EKO,FC176045
27/01/2026,VH-002,"40,72","0,323","€ 13,15",Avin,FC568487
06/01/2025,VH-002,"36,68","0,360","€ 13,20",EKO,FC853765
05/01/2026,VH-002,"17,49","0,417","€ 7,29",Avin,FC143833
09/06/2025,VH-002,"13,00","0,404","€ 5,25",EKO,FC932523
27/01/2026,VH-002,"34,13","0,300","€ 10,24",eko,FC875011
27/04/2025,VH-002,"40,54","0,390","€ 15,81",EKO,FC143202
09/06/2025,VH-002,"26,63","0,306","€ 8,15",Avin,FC363981
14/04/2026,VH-002,"55,50","0,287","€ 15,93",Avin,FC745656
21/03/2025,VH-002,"29,03","0,514","€ 14,92",shell,FC198234
08/05/2025,VH-002,"26,80","0,488","€ 13,08",shell,FC534007
30/11/2025,VH-002,"29,74","0,444","€ 13,21",BP,FC856029
17/03/2026,VH-002,"25,09","0,335","€ 8,41",shell,FC988542
15/11/2025,VH-002,"24,97","0,382","€ 9,54",EKO,FC228280
10/07/2026,VH-002,"34,38","0,417","€ 14,34",Avin,FC996506
22/09/2025,VH-002,"36,46","0,495","€ 18,05",shell,FC879369
09/05/2026,VH-002,,"0,327","€ 17,17",EKO,FC596772
29/03/2025,VH-002,"34,73","0,352","€ 12,22",EKO,FC549776
05/07/2025,VH-002,"53,63","0,315","€ 16,89",eko,FC823076
22/06/2026,VH-002,"21,86","0,508","€ 11,10",eko,FC182487
12/11/2025,VH-002,"17,63","0,316","€ 5,57",EKO,FC848161
27/03/2026,VH-002,"33,09","0,506","€ 16,75",shell,FC188468
17/12/2025,VH-002,"16,81","0,504","€ 8,47",Shell,FC286622
31/05/2025,VH-002,"41,49","0,392","€ 16,27",Avin,FC768865
27/07/2025,VH-002,"41,70","0,388","€ 16,18",eko,FC452874
19/05/2025,VH-002,"21,87","0,378","€ 8,27",BP,FC681830
14/08/2025,VH-002,"29,16","0,419","€ 12,22",BP,FC802103
16/11/2025,VH-002,"25,28","0,381","€ 9,63",BP,FC393865
30/07/2025,VH-002,,"0,400","€ 15,94",shell,FC906193
19/03/2026,VH-002,"40,91","0,293","€ 11,99",shell,FC156554
21/04/2026,VH-002,"36,67","0,510","€ 18,70",Avin,FC751376
08/01/2026,VH-002,"55,85","0,286","€ 15,97",BP,FC659409
12/05/2025,VH-002,"48,09","0,299","€ 14,38",eko,FC253497
16/01/2026,VH-002,"29,56","0,422","€ 12,48",Avin,FC171503
24/03/2026,VH-002,"41,00","0,308","€ 12,63",Shell,FC701286
01/06/2025,VH-002,"38,57","0,323","€ 12,46",Avin,FC866983
14/10/2025,VH-002,"29,28","0,467","€ 13,68",EKO,FC292562
11/02/2026,VH-002,"25,75","0,341","€ 8,78",eko,FC146110
14/11/2025,VH-003,"26,23","0,394","€ 10,34",Avin,FC314603
23/01/2026,VH-003,"27,70","0,296","€ 8,20",EKO,FC843435
04/07/2025,VH-003,"22,56","0,452","€ 10,20",Shell,FC161241
23/09/2025,VH-003,"29,78","0,364","€ 10,84",BP,FC738045
28/03/2025,VH-003,"37,16","0,327","€ 12,15",eko,FC573728
18/05/2026,VH-003,"46,54","0,353","€ 16,43",Avin,FC746164
16/03/2026,VH-003,"40,50","0,351","€ 14,22",EKO,FC776319
19/11/2025,VH-003,"18,42","0,492","€ 9,06",Shell,FC322995
23/01/2025,VH-003,"39,79","0,373","€ 14,84",BP,FC589342
03/08/2025,VH-003,"37,11","0,410","€ 15,21",Shell,FC486325
10/05/2025,VH-003,"41,16","0,313","€ 12,88",EKO,FC300129
15/02/2026,VH-003,"22,90","0,467","€ 10,69",BP,FC237605
25/03/2026,VH-003,"29,77","0,397","€ 11,82",EKO,FC455927
10/09/2025,VH-003,"29,40","0,507","€ 14,91",BP,FC333095
23/04/2025,VH-003,"34,03","0,448","€ 15,25",shell,FC989835
03/01/2026,VH-003,"30,80","0,489","€ 15,06",eko,FC558649
14/01/2025,VH-003,"24,38","0,411","€ 10,02",eko,FC774207
10/01/2026,VH-003,"49,57","0,294","€ 14,57",EKO,FC920943
01/02/2026,VH-003,"45,15","0,408","€ 18,42",Avin,FC180365
28/03/2026,VH-003,"24,80","0,483","€ 11,98",shell,FC539736
16/08/2025,VH-003,"48,49","0,364","€ 17,65",eko,FC114796
15/11/2025,VH-003,"33,26","0,425","€ 14,13",Shell,FC641944
17/04/2026,VH-003,"22,19","0,482","€ 10,69",Shell,FC335043
21/03/2025,VH-003,"39,22","0,354","€ 13,88",shell,FC667081
17/03/2025,VH-003,"23,20","0,473","€ 10,98",BP,FC336383
21/03/2026,VH-003,"42,80","0,340","€ 14,55",Shell,FC841383
20/03/2026,VH-003,"57,76","0,335","€ 19,35",Shell,FC994536
04/04/2026,VH-003,"34,92","0,359","€ 12,54",eko,FC734869
20/04/2026,VH-003,"19,11","0,471","€ 9,00",Shell,FC436022
20/05/2025,VH-003,"30,24","0,451","€ 13,64",Avin,FC593271
09/09/2025,VH-003,"53,57","0,300","€ 16,07",shell,FC778774
29/04/2026,VH-003,"24,68","0,517","€ 12,76",Shell,FC667150
26/07/2025,VH-003,"35,98","0,373","€ 13,42",Shell,FC562245
22/06/2025,VH-003,"20,73","0,448","€ 9,29",EKO,FC842322
23/04/2025,VH-003,"33,54","0,364","€ 12,21",BP,FC208714
17/05/2026,VH-003,"26,89","0,491","€ 13,20",EKO,FC469841
29/06/2025,VH-003,"36,10","0,404","€ 14,59",Shell,FC408136
18/06/2025,VH-003,"31,88","0,347","€ 11,06",Avin,FC622005
26/07/2025,VH-003,"39,64","0,423","€ 16,77",eko,FC188607
05/12/2025,VH-003,"22,00","0,390","€ 8,58",Avin,FC445113
10/02/2026,VH-003,"48,02","0,382","€ 18,34",EKO,FC412000
20/02/2025,VH-003,"35,18","0,395","€ 13,90",Shell,FC545586
12/05/2025,VH-003,"21,02","0,452","€ 9,50",EKO,FC885003
14/04/2025,VH-003,"38,63","0,297","€ 11,47",shell,FC735541
02/11/2025,VH-003,"27,05","0,301","€ 8,14",shell,FC375693
18/02/2025,VH-003,"26,28","0,355","€ 9,33",eko,FC636378
09/01/2026,VH-003,,"0,416","€ 18,49",EKO,FC717469
21/09/2025,VH-003,"42,39","0,440","€ 18,65",shell,FC377256
05/03/2026,VH-003,"28,21","0,496","€ 13,99",BP,FC592669
13/06/2025,VH-003,"37,30","0,354","€ 13,20",eko,FC509659
01/05/2026,VH-003,"34,76","0,373","€ 12,96",EKO,FC193299
06/04/2026,VH-003,"33,80","0,421","€ 14,23",eko,FC807566
18/10/2025,VH-003,"22,61","0,434","€ 9,81",eko,FC559749
30/04/2026,VH-003,"40,38","0,332","€ 13,41",EKO,FC150193
18/01/2026,VH-003,"45,41","0,281","€ 12,76",EKO,FC255503
20/02/2026,VH-003,"40,74","0,362","€ 14,75",eko,FC623554
10/05/2026,VH-003,"20,26","0,308","€ 6,24",Shell,FC711676
27/02/2025,VH-003,"49,39","0,284","€ 14,03",EKO,FC117391
10/07/2026,VH-003,"22,74","0,497","€ 11,30",eko,FC500024
21/04/2026,VH-003,"24,37","0,427","€ 10,41",Shell,FC939431
09/03/2025,VH-003,"43,27","0,294","€ 12,72",Avin,FC223992
29/05/2025,VH-003,"39,89","0,287","€ 11,45",EKO,FC699163
07/12/2025,VH-003,"32,46","0,427","€ 13,86",BP,FC450469
20/01/2025,VH-003,"22,76","0,482","€ 10,97",EKO,FC842551
02/11/2025,VH-003,"26,56","0,447","€ 11,87",BP,FC742172
